timestamp	session	ioa	asdu	value	quality	iv	cot
2026-03-26 17:56:42.984	cl2	118	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	124	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	126	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	132	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	134	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	140	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	142	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	148	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	155	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	156	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	158	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	164	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	166	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	172	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	174	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	180	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	182	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	188	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	190	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	196	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	198	36	0.0	0	0	20
2026-03-26 17:56:42.985	cl2	204	30	0	0	0	20
2026-03-26 17:56:42.985	cl2	206	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	212	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	214	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	220	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	222	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	228	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	230	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	236	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	238	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	244	30	0	0	0	20
